"TRM","EU","y"
"T1","E1",4.73668172974385
"T1","E1",4.36765930447442
"T1","E1",4.15920093972009
"T1","E1",6.7746983951873
"T1","E1",4.7122599352003
"T1","E1",4.44038587322252
"T1","E1",4.99181709950552
"T1","E1",5.0544021404015
"T1","E1",4.1770619194001
"T1","E1",5.22892852867695
"T1","E2",3.67415456793654
"T1","E2",2.84971421191567
"T1","E2",3.50942968070679
"T1","E2",3.55063943257589
"T1","E2",3.52627550742052
"T1","E2",3.99727888533125
"T1","E2",2.32441419350615
"T1","E2",1.79163124285155
"T1","E2",4.37785596833021
"T1","E2",4.12803337656982
"T1","E3",3.50837801264209
"T1","E3",6.09240308953878
"T1","E3",5.19212290872073
"T1","E3",5.74298542553732
"T1","E3",4.64754009375958
"T1","E3",5.65752596282345
"T1","E3",4.74425869037976
"T1","E3",6.5604291781315
"T1","E3",4.45938343750238
"T1","E3",4.81711688110925
"T2","E4",4.10195176429323
"T2","E4",6.04346187882477
"T2","E4",4.53507723502321
"T2","E4",5.20643615778755
"T2","E4",6.58178987693113
"T2","E4",5.20780515867791
"T2","E4",5.73383311824287
"T2","E4",4.23243993295663
"T2","E4",5.08504059261881
"T2","E4",4.09450008290366
"T2","E5",3.91686261343848
"T2","E5",5.56161230815755
"T2","E5",5.02197159714647
"T2","E5",4.85960825753289
"T2","E5",5.75711597890159
"T2","E5",3.04665184604187
"T2","E5",5.55250469757607
"T2","E5",4.20541485147718
"T2","E5",3.64695596736457
"T2","E5",4.15165520162595
"T2","E6",4.01810747055651
"T2","E6",4.5301085119957
"T2","E6",4.47365106618401
"T2","E6",3.90032779456627
"T2","E6",4.66551310866055
"T2","E6",6.12196945544728
"T2","E6",5.40230939673692
"T2","E6",5.10720568764669
"T2","E6",4.44653102902876
"T2","E6",5.44013598497436
"T3","E7",3.05355981957152
"T3","E7",3.61190970914173
"T3","E7",4.49236665735604
"T3","E7",3.78275577870222
"T3","E7",4.16373138494919
"T3","E7",3.936564387876
"T3","E7",4.29972650357828
"T3","E7",3.98130320572735
"T3","E7",6.82059984327606
"T3","E7",4.60310545444589
"T3","E8",2.71367002213081
"T3","E8",3.37142716008349
"T3","E8",2.24800144629165
"T3","E8",2.5513741029088
"T3","E8",3.44413632505433
"T3","E8",3.28408998861115
"T3","E8",2.62871263832231
"T3","E8",4.43409940516132
"T3","E8",2.53162881935001
"T3","E8",2.45805336687358
"T3","E9",4.30131849168815
"T3","E9",3.98637243786827
"T3","E9",4.21048001308531
"T3","E9",3.49847822529102
"T3","E9",5.36773846895293
"T3","E9",3.37511845784816
"T3","E9",4.63337344321039
"T3","E9",3.01278031461784
"T3","E9",4.36041587533897
"T3","E9",3.19395189708474
"T4","E10",7.33022714314664
"T4","E10",7.59306066427645
"T4","E10",7.56244558365611
"T4","E10",7.88831469224234
"T4","E10",5.55529434166233
"T4","E10",7.32170355145267
"T4","E10",6.620752987913
"T4","E10",8.65330354243713
"T4","E10",7.3453091409952
"T4","E10",6.58576220460477
"T4","E11",8.32796780910771
"T4","E11",7.45668087538774
"T4","E11",8.06576737388422
"T4","E11",7.88283566109316
"T4","E11",9.11417077911298
"T4","E11",8.60006188331799
"T4","E11",8.1920009810636
"T4","E11",8.26113103635569
"T4","E11",8.69775605707847
"T4","E11",6.9845314246385
"T4","E12",8.08726378534884
"T4","E12",7.13755508354866
"T4","E12",7.81970899034236
"T4","E12",7.80745703082289
"T4","E12",8.37575004802876
"T4","E12",7.01060542779604
"T4","E12",6.44660469951456
"T4","E12",8.74949052978998
"T4","E12",8.51380660388811
"T4","E12",9.24239700145897
